SourcePlate,Sourcewell,SourceTube,DestPlate,Destwell,DestTube,TEVol,SampleVol,±¸×¢
A1,F8,,,,A6,0,20.98,CHA-1-SJM
A1,G8,,,,A7,0,37.78,CHA-1-SJM
A1,H8,,,,A8,0,31.45,CHA-1-SJM
A1,A9,,,,A1,0,17.44,CHA-1-SJM
A1,B9,,,,A2,0,29.13,CHA-1-SJM
A1,C9,,,,A3,0,26.32,CHA-1-SJM
A1,D9,,,,A4,0,21.13,CHA-1-SJM
A1,E9,,,,A5,0,27.78,CHA-1-SJM
A1,F9,,,,A6,0,40,CHA-1-SJM
A1,G9,,,,A7,0,32.97,CHA-1-SJM
A1,H9,,,,A8,0,40,CHA-1-SJM
A1,A10,,,,A1,0,40,CHA-1-SJM
A1,B10,,,,A2,0,19.74,CHA-1-SJM
A1,C10,,,,A3,0,26.09,CHA-1-SJM
A1,D10,,,,A4,0,40,CHA-1-SJM
A1,E10,,,,A5,0,40,CHA-1-SJM
A1,F10,,,,A6,0,24,CHA-1-SJM
A1,G10,,,,A7,0,40,CHA-1-SJM
A1,H10,,,,A8,0,20.69,CHA-1-SJM
A1,A11,,,,A1,0,20.83,CHA-1-SJM
A1,B11,,,,A2,0,17.14,CHA-1-SJM
A1,C11,,,,A3,0,40,CHA-1-SJM
A1,D11,,,,A4,0,39.79,CHA-1-SJM
A1,E11,,,,A5,0,20,CHA-1-SJM
A1,F11,,,,A6,0,24.59,CHA-1-SJM
A1,G11,,,,A7,0,28.3,CHA-1-SJM
A1,H11,,,,A8,0,17.86,CHA-1-SJM
A1,A12,,,,A1,0,0.1,CHA-1-SJM
A1,B12,,,,A2,0,11.03,CHA-1-SJM
A1,C12,,,,A3,0,13.39,CHA-1-SJM
A1,D12,,,,A4,0,17.75,CHA-1-SJM
A1,E12,,,,A5,0,12.2,CHA-1-SJM
A1,F12,,,,A6,0,17.65,CHA-1-SJM
A1,G12,,,,A7,0,25,CHA-1-SJM
A1,H12,,,,A8,0,19.48,CHA-1-SJM
A2,A1,,,,A1,0,9.38,CHA-2-SJM
A2,B1,,,,A2,0,9.68,CHA-2-SJM
A2,C1,,,,A3,0,7,CHA-2-SJM
A2,D1,,,,A4,0,40,CHA-2-SJM
A2,E1,,,,A5,0,7.08,CHA-2-SJM
A2,F1,,,,A6,0,40,CHA-2-SJM
A2,G1,,,,A7,0,8.77,CHA-2-SJM
A2,H1,,,,A8,0,32.26,CHA-2-SJM
A2,A2,,,,A1,0,8.24,CHA-2-SJM
A2,B2,,,,A2,0,40,CHA-2-SJM
A2,C2,,,,A3,0,9.62,CHA-2-SJM
A2,D2,,,,A4,0,37.22,CHA-2-SJM
A2,E2,,,,A5,0,7,CHA-2-SJM
A2,F2,,,,A6,0,20.83,CHA-2-SJM
A2,G2,,,,A7,0,13.27,CHA-2-SJM
A2,H2,,,,A8,0,7.32,CHA-2-SJM
A2,A3,,,,A1,0,40,CHA-2-SJM
A2,B3,,,,A2,0,9.8,CHA-2-SJM
A2,C3,,,,A3,0,8.98,CHA-2-SJM
A2,D3,,,,A4,0,40,CHA-2-SJM
A2,E3,,,,A5,0,7,CHA-2-SJM
A2,F3,,,,A6,0,8.29,CHA-2-SJM
A2,G3,,,,A7,0,8.11,CHA-2-SJM
A2,H3,,,,A8,0,10.14,CHA-2-SJM
A2,A4,,,,A1,0,9.74,CHA-2-SJM
A2,B4,,,,A2,0,15.79,CHA-2-SJM
A2,C4,,,,A3,0,9.8,CHA-2-SJM
A2,D4,,,,A4,0,11.9,CHA-2-SJM
A2,E4,,,,A5,0,10.2,CHA-2-SJM
A2,F4,,,,A6,0,10.2,CHA-2-SJM
A2,G4,,,,A7,0,8.29,CHA-2-SJM
A2,H4,,,,A8,0,25,CHA-2-SJM
A2,A5,,,,A1,0,9.55,CHA-2-SJM
A2,B5,,,,A2,0,40,CHA-2-SJM
A2,C5,,,,A3,0,7.5,CHA-2-SJM
A2,D5,,,,A4,0,9.55,CHA-2-SJM
A2,E5,,,,A5,0,15,CHA-2-SJM
A2,F5,,,,A6,0,10.2,CHA-2-SJM
A2,G5,,,,A7,0,35.29,CHA-2-SJM
A2,H5,,,,A8,0,11.63,CHA-2-SJM
A2,A6,,,,A1,0,8.38,CHA-2-SJM
A2,B6,,,,A2,0,7,CHA-2-SJM
A2,C6,,,,A3,0,9.2,CHA-2-SJM
A2,D6,,,,A4,0,15.15,CHA-2-SJM
A2,E6,,,,A5,0,9.74,CHA-2-SJM
A2,F6,,,,A6,0,10.2,CHA-2-SJM
A2,G6,,,,A7,0,10.71,CHA-2-SJM
A2,H6,,,,A8,0,9.74,CHA-2-SJM
A2,A7,,,,A1,0,7.81,CHA-2-SJM
A2,B7,,,,A2,0,9.55,CHA-2-SJM
A2,C7,,,,A3,0,12.5,CHA-2-SJM
A2,D7,,,,A4,0,7.54,CHA-2-SJM
A2,E7,,,,A5,0,10.56,CHA-2-SJM
A2,F7,,,,A6,0,9.87,CHA-2-SJM
A2,G7,,,,A7,0,7,CHA-2-SJM
A2,H7,,,,A8,0,10.87,CHA-2-SJM
A2,A8,,,,A1,0,28.85,CHA-2-SJM
A2,B8,,,,A2,0,40,CHA-2-SJM
A2,C8,,,,A3,0,23.62,CHA-2-SJM
A2,D8,,,,A4,0,40,CHA-2-SJM
A2,E8,,,,A5,0,9.04,CHA-2-SJM
A2,F8,,,,A6,0,8.88,CHA-2-SJM
A2,G8,,,,A7,0,9.8,CHA-2-SJM
A2,H8,,,,A8,0,9.68,CHA-2-SJM
A2,A9,,,,A1,0,7.46,CHA-2-SJM
A2,B9,,,,A2,0,9.62,CHA-2-SJM
A2,C9,,,,A3,0,19.48,CHA-2-SJM
A2,D9,,,,A4,0,8.33,CHA-2-SJM
A2,E9,,,,A5,0,10.42,CHA-2-SJM
A2,F9,,,,A6,0,8.82,CHA-2-SJM
A2,G9,,,,A7,0,10.79,CHA-2-SJM
A2,H9,,,,A8,0,7,CHA-2-SJM
A2,A10,,,,A1,0,7,CHA-2-SJM
A2,B10,,,,A2,0,9.04,CHA-2-SJM
A2,C10,,,,A3,0,7.5,CHA-2-SJM
A2,D10,,,,A4,0,14.29,CHA-2-SJM
A2,E10,,,,A5,0,9.2,CHA-2-SJM
A2,F10,,,,A6,0,9.62,CHA-2-SJM
A2,G10,,,,A7,0,8.24,CHA-2-SJM
A2,H10,,,,A8,0,7,CHA-2-SJM
A2,A11,,,,A1,0,13.51,CHA-2-SJM
A2,B11,,,,A2,0,10.49,CHA-2-SJM
A2,C11,,,,A3,0,10.64,CHA-2-SJM
A2,D11,,,,A4,0,10.2,CHA-2-SJM
A2,E11,,,,A5,0,7.89,CHA-2-SJM
A2,F11,,,,A6,0,7,CHA-2-SJM
A2,G11,,,,A7,0,9.55,CHA-2-SJM
A2,H11,,,,A8,0,7.81,CHA-2-SJM
A2,A12,,,,A1,0,0.1,CHA-2-SJM
A2,B12,,,,A2,0,16.85,CHA-2-SJM
A2,C12,,,,A3,0,13.39,CHA-2-SJM
A2,D12,,,,A4,0,40,CHA-2-SJM
A2,E12,,,,A5,0,11.11,CHA-2-SJM
A2,F12,,,,A6,0,14.56,CHA-2-SJM
A2,G12,,,,A7,0,7.94,CHA-2-SJM
A2,H12,,,,A8,0,9.38,CHA-2-SJM
A3,A1,,,,A1,0,8.93,CHA-3-SJM
A3,B1,,,,A2,0,11.19,CHA-3-SJM
A3,C1,,,,A3,0,9.15,CHA-3-SJM
A3,D1,,,,A4,0,40,CHA-3-SJM
A3,E1,,,,A5,0,40,CHA-3-SJM
A3,F1,,,,A6,0,40,CHA-3-SJM
A3,G1,,,,A7,0,40,CHA-3-SJM
A3,H1,,,,A8,0,40,CHA-3-SJM
A3,A2,,,,A1,0,10.07,CHA-3-SJM
A3,B2,,,,A2,0,12.93,CHA-3-SJM
A3,C2,,,,A3,0,12.5,CHA-3-SJM
A3,D2,,,,A4,0,10.42,CHA-3-SJM
A3,E2,,,,A5,0,13.89,CHA-3-SJM
A3,F2,,,,A6,0,10,CHA-3-SJM
A3,G2,,,,A7,0,7.94,CHA-3-SJM
A3,H2,,,,A8,0,8.11,CHA-3-SJM
A3,A3,,,,A1,0,16.04,CHA-3-SJM
A3,B3,,,,A2,0,10,CHA-3-SJM
A3,C3,,,,A3,0,8.93,CHA-3-SJM
A3,D3,,,,A4,0,11.54,CHA-3-SJM
A3,E3,,,,A5,0,12.61,CHA-3-SJM
A3,F3,,,,A6,0,12.4,CHA-3-SJM
A3,G3,,,,A7,0,8.52,CHA-3-SJM
A3,H3,,,,A8,0,10.27,CHA-3-SJM
A3,A4,,,,A1,0,12.61,CHA-3-SJM
A3,B4,,,,A2,0,9.15,CHA-3-SJM
A3,C4,,,,A3,0,11.03,CHA-3-SJM
A3,D4,,,,A4,0,11.03,CHA-3-SJM
A3,E4,,,,A5,0,9.8,CHA-3-SJM
A3,F4,,,,A6,0,14.02,CHA-3-SJM
A3,G4,,,,A7,0,17.65,CHA-3-SJM
A3,H4,,,,A8,0,8.2,CHA-3-SJM
A3,A5,,,,A1,0,11.54,CHA-3-SJM
A3,B5,,,,A2,0,9.26,CHA-3-SJM
A3,C5,,,,A3,0,11.81,CHA-3-SJM
A3,D5,,,,A4,0,30.24,CHA-3-SJM
A3,E5,,,,A5,0,40,CHA-3-SJM
A3,F5,,,,A6,0,12.71,CHA-3-SJM
A3,G5,,,,A7,0,12.4,CHA-3-SJM
A3,H5,,,,A8,0,12,CHA-3-SJM
A3,A6,,,,A1,0,11.81,CHA-3-SJM
A3,B6,,,,A2,0,10,CHA-3-SJM
A3,C6,,,,A3,0,7.69,CHA-3-SJM
A3,D6,,,,A4,0,9.04,CHA-3-SJM
A3,E6,,,,A5,0,12.93,CHA-3-SJM
A3,F6,,,,A6,0,9.68,CHA-3-SJM
A3,G6,,,,A7,0,9.55,CHA-3-SJM
A3,H6,,,,A8,0,9.43,CHA-3-SJM
A3,A7,,,,A1,0,10.49,CHA-3-SJM
A3,B7,,,,A2,0,10.34,CHA-3-SJM
A3,C7,,,,A3,0,11.63,CHA-3-SJM
A3,D7,,,,A4,0,9.43,CHA-3-SJM
A3,E7,,,,A5,0,8.88,CHA-3-SJM
A3,F7,,,,A6,0,8.06,CHA-3-SJM
A3,G7,,,,A7,0,10.42,CHA-3-SJM
A3,H7,,,,A8,0,8.98,CHA-3-SJM
A3,A8,,,,A1,0,11.03,CHA-3-SJM
A3,B8,,,,A2,0,40,CHA-3-SJM
A3,C8,,,,A3,0,12.3,CHA-3-SJM
A3,D8,,,,A4,0,11.72,CHA-3-SJM
A3,E8,,,,A5,0,10.95,CHA-3-SJM
A3,F8,,,,A6,0,8.82,CHA-3-SJM
A3,G8,,,,A7,0,40,CHA-3-SJM
A3,H8,,,,A8,0,11.72,CHA-3-SJM
A3,A9,,,,A1,0,9.26,CHA-3-SJM
A3,B9,,,,A2,0,9.62,CHA-3-SJM
A3,C9,,,,A3,0,11.28,CHA-3-SJM
A3,D9,,,,A4,0,7.65,CHA-3-SJM
A3,E9,,,,A5,0,10.49,CHA-3-SJM
A3,F9,,,,A6,0,8.06,CHA-3-SJM
A3,G9,,,,A7,0,9.68,CHA-3-SJM
A3,H9,,,,A8,0,8.88,CHA-3-SJM
A3,A10,,,,A1,0,8.93,CHA-3-SJM
A3,B10,,,,A2,0,8.93,CHA-3-SJM
A3,C10,,,,A3,0,11.63,CHA-3-SJM
A3,D10,,,,A4,0,9.8,CHA-3-SJM
A3,E10,,,,A5,0,9.55,CHA-3-SJM
A3,F10,,,,A6,0,7.89,CHA-3-SJM
A3,G10,,,,A7,0,11.11,CHA-3-SJM
A3,H10,,,,A8,0,8.52,CHA-3-SJM
A3,A11,,,,A1,0,8.82,CHA-3-SJM
A3,B11,,,,A2,0,10.14,CHA-3-SJM
A3,C11,,,,A3,0,11.54,CHA-3-SJM
A3,D11,,,,A4,0,10.14,CHA-3-SJM
A3,E11,,,,A5,0,20.69,CHA-3-SJM
A3,F11,,,,A6,0,12,CHA-3-SJM
A3,G11,,,,A7,0,9.62,CHA-3-SJM
A3,H11,,,,A8,0,9.2,CHA-3-SJM
A3,A12,,,,A1,0,0.1,CHA-3-SJM
A3,B12,,,,A2,0,7.73,CHA-3-SJM
A3,C12,,,,A3,0,7.35,CHA-3-SJM
A3,D12,,,,A4,0,10.49,CHA-3-SJM
A3,E12,,,,A5,0,9.93,CHA-3-SJM
A3,F12,,,,A6,0,7.43,CHA-3-SJM
A3,G12,,,,A7,0,10.27,CHA-3-SJM
A3,H12,,,,A8,0,8.98,CHA-3-SJM
A4,A1,,,,A1,0,40,CHA-4-SJM
A4,B1,,,,A2,0,40,CHA-4-SJM
A4,C1,,,,A3,0,40,CHA-4-SJM
A4,D1,,,,A4,0,7.35,CHA-4-SJM
A4,E1,,,,A5,0,10.95,CHA-4-SJM
A4,F1,,,,A6,0,8.52,CHA-4-SJM
A4,G1,,,,A7,0,10.64,CHA-4-SJM
A4,H1,,,,A8,0,8.33,CHA-4-SJM
A4,A2,,,,A1,0,7.98,CHA-4-SJM
A4,B2,,,,A2,0,8.62,CHA-4-SJM
A4,C2,,,,A3,0,7,CHA-4-SJM
A4,D2,,,,A4,0,10.71,CHA-4-SJM
A4,E2,,,,A5,0,8.06,CHA-4-SJM
A4,F2,,,,A6,0,11.36,CHA-4-SJM
A4,G2,,,,A7,0,40,CHA-4-SJM
A4,H2,,,,A8,0,40,CHA-4-SJM
A4,A3,,,,A1,0,7,CHA-4-SJM
A4,B3,,,,A2,0,40,CHA-4-SJM
A4,C3,,,,A3,0,7.69,CHA-4-SJM
A4,D3,,,,A4,0,9.38,CHA-4-SJM
A4,E3,,,,A5,0,40,CHA-4-SJM
A4,F3,,,,A6,0,13.39,CHA-4-SJM
A4,G3,,,,A7,0,9.8,CHA-4-SJM
A4,H3,,,,A8,0,40,CHA-4-SJM
A4,A4,,,,A1,0,13.76,CHA-4-SJM
A4,B4,,,,A2,0,10.34,CHA-4-SJM
A4,C4,,,,A3,0,7.11,CHA-4-SJM
A4,D4,,,,A4,0,9.55,CHA-4-SJM
A4,E4,,,,A5,0,10.95,CHA-4-SJM
A4,F4,,,,A6,0,10.07,CHA-4-SJM
A4,G4,,,,A7,0,14.29,CHA-4-SJM
A4,H4,,,,A8,0,20.83,CHA-4-SJM
A4,A5,,,,A1,0,13.04,CHA-4-SJM
A4,B5,,,,A2,0,7,CHA-4-SJM
A4,C5,,,,A3,0,7,CHA-4-SJM
A4,D5,,,,A4,0,7.73,CHA-4-SJM
A4,E5,,,,A5,0,7.69,CHA-4-SJM
A4,F5,,,,A6,0,7,CHA-4-SJM
A4,G5,,,,A7,0,15.63,CHA-4-SJM
A4,H5,,,,A8,0,25.21,CHA-4-SJM
A4,A6,,,,A1,0,9.43,CHA-4-SJM
A4,B6,,,,A2,0,7,CHA-4-SJM
A4,C6,,,,A3,0,7.73,CHA-4-SJM
A4,D6,,,,A4,0,8.33,CHA-4-SJM
A4,E6,,,,A5,0,9.49,CHA-4-SJM
A4,F6,,,,A6,0,7,CHA-4-SJM
A4,G6,,,,A7,0,8.24,CHA-4-SJM
A4,H6,,,,A8,0,7.43,CHA-4-SJM
A4,A7,,,,A1,0,11.45,CHA-4-SJM
A4,B7,,,,A2,0,7.58,CHA-4-SJM
A4,C7,,,,A3,0,8.06,CHA-4-SJM
A4,D7,,,,A4,0,10,CHA-4-SJM
A4,E7,,,,A5,0,11.63,CHA-4-SJM
A4,F7,,,,A6,0,10.42,CHA-4-SJM
A4,G7,,,,A7,0,7,CHA-4-SJM
A4,H7,,,,A8,0,7.43,CHA-4-SJM
A4,A8,,,,A1,0,40,CHA-4-SJM
A4,B8,,,,A2,0,40,CHA-4-SJM
A4,C8,,,,A3,0,40,CHA-4-SJM
A4,D8,,,,A4,0,13.64,CHA-4-SJM
A4,E8,,,,A5,0,10.95,CHA-4-SJM
A4,F8,,,,A6,0,11.03,CHA-4-SJM
A4,G8,,,,A7,0,7.61,CHA-4-SJM
A4,H8,,,,A8,0,7.32,CHA-4-SJM
A4,A9,,,,A1,0,9.09,CHA-4-SJM
A4,B9,,,,A2,0,8.67,CHA-4-SJM
A4,C9,,,,A3,0,9.55,CHA-4-SJM
A4,D9,,,,A4,0,7.65,CHA-4-SJM
A4,E9,,,,A5,0,9.04,CHA-4-SJM
A4,F9,,,,A6,0,7.89,CHA-4-SJM
A4,G9,,,,A7,0,9.2,CHA-4-SJM
A4,H9,,,,A8,0,7,CHA-4-SJM
A4,A10,,,,A1,0,7.89,CHA-4-SJM
A4,B10,,,,A2,0,26.79,CHA-4-SJM
A4,C10,,,,A3,0,9.04,CHA-4-SJM
A4,D10,,,,A4,0,9.43,CHA-4-SJM
A4,E10,,,,A5,0,10.34,CHA-4-SJM
A4,F10,,,,A6,0,9.49,CHA-4-SJM
A4,G10,,,,A7,0,8.72,CHA-4-SJM
A4,H10,,,,A8,0,9.04,CHA-4-SJM
A4,A11,,,,A1,0,11.81,CHA-4-SJM
A4,B11,,,,A2,0,40,CHA-4-SJM
A4,C11,,,,A3,0,8.67,CHA-4-SJM
A4,D11,,,,A4,0,8.93,CHA-4-SJM
A4,E11,,,,A5,0,40,CHA-4-SJM
A4,F11,,,,A6,0,40,CHA-4-SJM
A4,G11,,,,A7,0,40,CHA-4-SJM
A4,H11,,,,A8,0,36.86,CHA-4-SJM
A4,A12,,,,A1,0,0.1,CHA-4-SJM
A4,B12,,,,A2,0,13.27,CHA-4-SJM
A4,C12,,,,A3,0,40,CHA-4-SJM
A4,D12,,,,A4,0,40,CHA-4-SJM
A4,E12,,,,A5,0,40,CHA-4-SJM
A4,F12,,,,A6,0,40,CHA-4-SJM
A4,G12,,,,A7,0,8.33,CHA-4-SJM
A4,H12,,,,A8,0,7.39,CHA-4-SJM
A5,A1,,,,A1,0,7.46,CHA-5-SJM
A5,B1,,,,A2,0,8.02,CHA-5-SJM
A5,C1,,,,A3,0,9.49,CHA-5-SJM
A5,D1,,,,A4,0,9.87,CHA-5-SJM
A5,E1,,,,A5,0,8.62,CHA-5-SJM
A5,F1,,,,A6,0,9.26,CHA-5-SJM
A5,G1,,,,A7,0,7.08,CHA-5-SJM
A5,H1,,,,A8,0,7.94,CHA-5-SJM
A5,A2,,,,A1,0,7,CHA-5-SJM
A5,B2,,,,A2,0,11.03,CHA-5-SJM
A5,C2,,,,A3,0,10.2,CHA-5-SJM
A5,D2,,,,A4,0,9.04,CHA-5-SJM
A5,E2,,,,A5,0,9.04,CHA-5-SJM
A5,F2,,,,A6,0,8.15,CHA-5-SJM
A5,G2,,,,A7,0,7,CHA-5-SJM
A5,H2,,,,A8,0,10,CHA-5-SJM
A5,A3,,,,A1,0,8.43,CHA-5-SJM
A5,B3,,,,A2,0,7.58,CHA-5-SJM
A5,C3,,,,A3,0,7.25,CHA-5-SJM
A5,D3,,,,A4,0,7.85,CHA-5-SJM
A5,E3,,,,A5,0,11.72,CHA-5-SJM
A5,F3,,,,A6,0,8.2,CHA-5-SJM
A5,G3,,,,A7,0,8.47,CHA-5-SJM
A5,H3,,,,A8,0,7.46,CHA-5-SJM
A5,A4,,,,A1,0,8.06,CHA-5-SJM
A5,B4,,,,A2,0,9.87,CHA-5-SJM
A5,C4,,,,A3,0,18.07,CHA-5-SJM
A5,D4,,,,A4,0,40,CHA-5-SJM
A5,E4,,,,A5,0,19.48,CHA-5-SJM
A5,F4,,,,A6,0,24,CHA-5-SJM
A5,G4,,,,A7,0,7.28,CHA-5-SJM
A5,H4,,,,A8,0,10.34,CHA-5-SJM
A5,A5,,,,A1,0,9.38,CHA-5-SJM
A5,B5,,,,A2,0,7.77,CHA-5-SJM
A5,C5,,,,A3,0,7.21,CHA-5-SJM
A5,D5,,,,A4,0,8.11,CHA-5-SJM
A5,E5,,,,A5,0,10.87,CHA-5-SJM
A5,F5,,,,A6,0,8.72,CHA-5-SJM
A5,G5,,,,A7,0,8.77,CHA-5-SJM
A5,H5,,,,A8,0,9.49,CHA-5-SJM
A5,A6,,,,A1,0,7.32,CHA-5-SJM
A5,B6,,,,A2,0,15.15,CHA-5-SJM
A5,C6,,,,A3,0,10.14,CHA-5-SJM
A5,D6,,,,A4,0,7,CHA-5-SJM
A5,E6,,,,A5,0,12.1,CHA-5-SJM
A5,F6,,,,A6,0,7.98,CHA-5-SJM
A5,G6,,,,A7,0,9.15,CHA-5-SJM
A5,H6,,,,A8,0,8.52,CHA-5-SJM
A5,E07,,,,A1,0,0.1,CHA-5-SJM
A5,F07,,,,A2,0,0.1,CHA-5-SJM
A5,G07,,,,A3,0,0.1,CHA-5-SJM
A5,H07,,,,A4,0,7.89,CHA-5-SJM
