unifrac	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1
A7	0.433	0.237	0.112	0.308	0.243	0.226	0.173	0.0995	0.167	0.155	0.464	0.252	0.129	0.142	0.157	0.281	0.343	0.311	0.390	0.396	0.417	0.313	0.334	0.329	0.415	0.322	0.270	0.238	0.253	0	0.204	0.0869	0.378	0.332	0.623	0.701	0.632	0.628	0.564	0.557	0.861	0.636	0.603
A8	0.412	0.199	0.231	0.281	0.186	0.204	0.143	0.253	0.162	0.243	0.614	0.214	0.167	0.181	0.193	0.427	0.488	0.453	0.531	0.540	0.544	0.460	0.257	0.469	0.563	0.456	0.154	0.128	0.168	0.204	0	0.196	0.513	0.477	0.557	0.614	0.630	0.507	0.441	0.566	0.879	0.620	0.504
A9	0.425	0.233	0.107	0.300	0.229	0.225	0.156	0.130	0.131	0.153	0.483	0.245	0.102	0.147	0.156	0.302	0.362	0.328	0.417	0.410	0.428	0.320	0.313	0.341	0.435	0.329	0.237	0.198	0.256	0.0869	0.196	0	0.391	0.342	0.639	0.691	0.638	0.605	0.541	0.561	0.882	0.617	0.623
BS2	0.744	0.580	0.369	0.631	0.575	0.486	0.498	0.344	0.459	0.423	0.207	0.536	0.438	0.442	0.424	0.155	0.150	0.145	0.291	0.178	0.160	0.114	0.635	0.135	0.159	0.158	0.591	0.533	0.603	0.378	0.513	0.391	0	0.162	0.920	0.926	0.683	0.887	0.833	0.575	0.943	0.798	0.878
CS2	0.693	0.539	0.326	0.591	0.523	0.441	0.448	0.288	0.408	0.368	0.254	0.500	0.398	0.393	0.382	0.156	0.160	0.141	0.295	0.193	0.212	0.124	0.611	0.113	0.195	0.136	0.549	0.493	0.563	0.332	0.477	0.342	0.162	0	0.866	0.903	0.677	0.870	0.812	0.582	0.929	0.767	0.844
G0	0.626	0.567	0.676	0.609	0.571	0.659	0.576	0.657	0.612	0.646	0.979	0.600	0.614	0.579	0.630	0.820	0.883	0.844	0.941	0.915	0.953	0.850	0.567	0.869	0.941	0.856	0.559	0.566	0.560	0.623	0.557	0.639	0.920	0.866	0	0.115	0.889	0.194	0.290	0.941	0.849	0.731	0.370
G1	0.714	0.653	0.709	0.694	0.655	0.714	0.653	0.731	0.671	0.722	0.983	0.678	0.666	0.657	0.707	0.827	0.890	0.857	0.947	0.921	0.958	0.878	0.642	0.884	0.948	0.895	0.617	0.612	0.645	0.701	0.614	0.691	0.926	0.903	0.115	0	0.901	0.220	0.326	0.945	0.915	0.783	0.451
G2	0.726	0.622	0.646	0.627	0.632	0.623	0.638	0.641	0.640	0.643	0.736	0.638	0.635	0.648	0.647	0.661	0.664	0.662	0.695	0.693	0.712	0.680	0.656	0.697	0.704	0.693	0.626	0.636	0.623	0.632	0.630	0.638	0.683	0.677	0.889	0.901	0	0.847	0.786	0.631	0.823	0.759	0.854
G3	0.604	0.512	0.624	0.549	0.514	0.633	0.542	0.666	0.566	0.638	0.955	0.587	0.559	0.592	0.623	0.797	0.861	0.821	0.907	0.891	0.929	0.844	0.494	0.851	0.919	0.858	0.465	0.476	0.499	0.628	0.507	0.605	0.887	0.870	0.194	0.220	0.847	0	0.144	0.896	0.888	0.680	0.334
G4	0.535	0.440	0.550	0.463	0.436	0.560	0.476	0.604	0.500	0.564	0.912	0.516	0.493	0.530	0.555	0.747	0.810	0.764	0.856	0.846	0.882	0.786	0.410	0.797	0.873	0.798	0.382	0.405	0.417	0.564	0.441	0.541	0.833	0.812	0.290	0.326	0.786	0.144	0	0.843	0.884	0.605	0.294
G5	0.785	0.623	0.566	0.689	0.635	0.552	0.560	0.566	0.565	0.568	0.603	0.608	0.559	0.566	0.568	0.578	0.575	0.580	0.570	0.583	0.593	0.577	0.713	0.580	0.587	0.577	0.635	0.584	0.646	0.557	0.566	0.561	0.575	0.582	0.941	0.945	0.631	0.896	0.843	0	0.967	0.849	0.914
GR01	0.840	0.845	0.896	0.844	0.852	0.883	0.859	0.861	0.883	0.859	0.991	0.849	0.887	0.849	0.861	0.962	0.949	0.932	0.959	0.971	0.972	0.909	0.861	0.924	0.962	0.890	0.877	0.890	0.845	0.861	0.879	0.882	0.943	0.929	0.849	0.915	0.823	0.888	0.884	0.967	0	0.871	0.864
LW1	0.602	0.574	0.665	0.576	0.581	0.634	0.606	0.653	0.620	0.667	0.901	0.639	0.613	0.664	0.661	0.815	0.807	0.787	0.835	0.837	0.857	0.739	0.570	0.770	0.859	0.752	0.586	0.606	0.586	0.636	0.620	0.617	0.798	0.767	0.731	0.783	0.759	0.680	0.605	0.849	0.871	0	0.721
T1	0.551	0.508	0.606	0.525	0.516	0.618	0.555	0.636	0.573	0.565	0.955	0.533	0.591	0.554	0.577	0.796	0.861	0.836	0.828	0.895	0.928	0.826	0.467	0.846	0.917	0.845	0.483	0.524	0.488	0.603	0.504	0.623	0.878	0.844	0.370	0.451	0.854	0.334	0.294	0.914	0.864	0.721	0
