Class	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Acidobacteria	2.62	1.29	0.682	0.587	0.442	0.503	0.632	0.514	0.373	0.884	0.187	0.19	0.24	0.354	0.385	0.339	0.632	0.766	0.671	0.991	0.568	0.766	0.438	1	0.686	0.781	0.545	0.461	0.587	0.339	0.499	1.84	2.35	2.13	1.32	1.7	0.591	2.85	0.617	3.0
Bacilli	6.38	9.9	12.2	13.5	13	12.5	10.8	11.3	10.1	11.4	10.7	8.31	1.23	2.24	1.18	0.888	0.857	1.08	1.01	9.36	1.07	1.22	1.94	13.1	15.6	14.6	17.2	16.9	16.6	2.55	2.78	6.41	2.08	5.56	4.77	1.76	0.244	2.43	33.1	2.4
Acidimicrobiia	0.846	1.1	0.556	0.438	0.366	0.408	0.358	0.293	0.202	0.777	0.103	0.0762	0.0533	0.107	0.145	0.122	0.152	0.156	0.198	0.918	0.152	0.194	0.179	0.701	0.602	0.598	0.671	0.343	0.404	0.103	0.149	1.49	2.9	2.08	1.82	1.21	0.705	1.95	0.404	2.0
Thermoleophilia	0.617	1.29	0.739	0.499	0.396	0.469	0.324	0.263	0.183	0.789	0.0991	0.0876	0.0343	0.061	0.0838	0.0724	0.0419	0.0457	0.0952	1.05	0.0724	0.0876	0.114	0.72	0.636	0.663	0.732	0.446	0.499	0.0381	0.0762	2.15	2.4	2.39	2.23	1.1	0.93	1.7	0.244	2.0
Gemmatimonadetes	0.766	0.804	0.549	0.335	0.316	0.373	0.328	0.343	0.213	0.739	0.0914	0.179	0.0914	0.107	0.107	0.114	0.133	0.152	0.141	0.777	0.24	0.286	0.305	0.747	0.488	0.552	0.537	0.373	0.343	0.0762	0.126	0.362	0.956	0.583	0.545	0.564	0.08	0.503	0.0991	2.0
Phycisphaerae	0.686	0.377	0.263	0.213	0.137	0.206	0.183	0.149	0.137	0.343	0.0419	0.0533	0.0762	0.118	0.141	0.149	0.251	0.324	0.331	0.396	0.21	0.362	0.232	0.339	0.24	0.259	0.164	0.16	0.217	0.156	0.263	0.712	0.537	0.766	0.686	0.549	0.263	1.02	0.255	1.8
Thermoplasmata	1.73	1.06	0.602	0.339	0.37	0.411	0.354	0.217	0.0533	0.549	0.0114	0.00762	0.00381	0.019	0.0114	0.019	0.0114	0.00762	0.00381	1.15	0.0343	0.0419	0.232	1.18	0.792	0.88	0.591	0.217	0.309	0.019	0.0343	0.625	1.44	1.45	4.64	4.32	0.206	0.564	0.0343	1.7
Anaerolineae	0.945	0.328	0.175	0.183	0.103	0.107	0.13	0.0724	0.107	0.259	0.0305	0.019	0.0267	0.0457	0.0343	0.0267	0.0648	0.11	0.118	0.309	0.0952	0.229	0.118	0.183	0.164	0.305	0.213	0.126	0.13	0.0914	0.107	1.46	4.72	1.1	0.895	1.89	0.503	1.3	0.312	1.5
OPB35_soil_group	0.594	0.145	0.061	0.0648	0.0305	0.0724	0.0533	0.0952	0.0267	0.0838	0.00381	0.0152	0.00762	0.00762	0.00381	0.00381	0.00381	0.0381	0.00381	0.168	0.00762	0.11	0.0876	0.114	0.0914	0.13	0.0686	0.0457	0.0495	0.0229	0.0838	0.739	1.31	0.56	0.305	0.45	0.263	0.872	0.0876	1.1
Thermomicrobia	0.476	0.522	0.461	0.362	0.312	0.297	0.282	0.305	0.408	0.472	0.316	0.305	0.758	1.25	0.933	0.846	0.571	0.956	1.01	0.419	0.899	1.34	1.94	0.427	0.381	0.518	0.377	0.362	0.32	0.457	0.674	0.48	0.408	0.514	0.522	0.194	0.156	0.758	0.4	1.1
Verrucomicrobiae	1.75	0.591	0.286	0.183	0.202	0.251	0.278	0.274	0.236	0.293	0.11	0.16	1.47	2.7	3.41	4.66	4.3	3.79	3.35	0.541	2.32	1.42	0.865	0.488	0.404	0.45	0.206	0.194	0.187	2.65	2.17	0.297	0.484	0.251	0.183	0.526	1.02	0.671	0.0991	1.0
Chloroflexia	0.434	0.274	0.21	0.152	0.11	0.187	0.103	0.0762	0.0762	0.198	0.0686	0.0495	0.0381	0.0876	0.103	0.0838	0.118	0.152	0.24	0.198	0.24	0.571	0.183	0.213	0.187	0.183	0.21	0.194	0.11	0.118	0.179	1.25	0.286	0.732	1.03	0.19	0.602	0.819	0.545	1.0
Ardenticatenia	0.461	0.213	0.152	0.149	0.168	0.103	0.08	0.107	0.149	0.137	0.0686	0.0419	0.0533	0.0724	0.114	0.156	0.168	0.164	0.16	0.194	0.168	0.263	0.198	0.187	0.179	0.168	0.16	0.137	0.126	0.103	0.156	0.85	0.472	1.1	0.812	0.149	0.206	0.69	0.453	0.8
Caldilineae	0.427	0.126	0.0838	0.107	0.0686	0.0724	0.0571	0.0724	0.0686	0.156	0.0343	0.019	0.0229	0.0457	0.0533	0.0648	0.0305	0.0762	0.08	0.103	0.0457	0.141	0.168	0.141	0.107	0.145	0.107	0.0495	0.0571	0.0533	0.13	1.12	1.16	0.606	0.511	0.389	0.419	1.02	0.271	0.8
MB-A2-108	0.442	0.476	0.324	0.187	0.19	0.164	0.126	0.0838	0.061	0.312	0.0267	0.0267	0.0229	0.00381	0.0114	0.00381	0.00381	0.00381	0.00762	0.358	0.0114	0.0114	0.00762	0.324	0.286	0.271	0.21	0.126	0.168	0.00381	0.00762	0.278	0.739	0.564	0.476	2.21	0.0724	0.0686	0.0305	0.7
KD4-96	0.373	0.941	0.469	0.297	0.259	0.396	0.282	0.202	0.08	0.564	0.0305	0.0495	0.0229	0.0152	0.0229	0.0152	0.0343	0.0343	0.0267	0.652	0.0114	0.0229	0.0533	0.526	0.404	0.587	0.411	0.24	0.331	0.0305	0.00762	0.522	1.18	0.975	1.01	0.77	0.149	0.545	0.0686	0.7
Spartobacteria	0.514	0.187	0.137	0.08	0.0686	0.0914	0.0724	0.0762	0.103	0.141	0.0229	0.0305	0.0762	0.0991	0.0876	0.213	0.271	0.343	0.358	0.194	0.373	0.274	0.11	0.156	0.141	0.122	0.0991	0.0648	0.0952	0.0648	0.0495	0.13	0.232	0.24	0.133	0.4	0.301	0.232	0.0381	0.7
Opitutae	0.431	0.114	0.0724	0.0419	0.0571	0.0343	0.0762	0.0724	0.0419	0.0762	0.00762	0.0114	0.00381	0.019	0.019	0.0152	0.0762	0.118	0.0571	0.137	0.0914	0.396	0.32	0.133	0.114	0.133	0.0648	0.0381	0.0571	0.0914	0.118	0.271	0.495	0.206	0.19	0.171	0.37	0.309	0.0495	0.6
Soil_Crenarchaeotic_Group[SCG]	3.95	1.26	0.907	0.709	0.518	0.629	0.48	0.404	0.377	0.838	0.156	0.118	0.0229	0.0457	0.061	0.0305	0.0686	0.061	0.0457	1.7	0.0876	0.0991	0.133	1.26	1.27	1.31	0.846	0.549	0.579	0.0762	0.0495	10.5	4.93	4.35	7.74	9.08	1.5	11.1	2.13	0.6
Holophagae	0.255	0.16	0.11	0.11	0.0648	0.0724	0.0457	0.0457	0.0305	0.175	0.0114	0.00762	0.00762	0.019	0.0152	0.0305	0.00381	0.00762	0.0267	0.179	0.0343	0.0381	0.0495	0.122	0.103	0.114	0.107	0.0419	0.0457	0.019	0.0343	0.145	0.903	0.225	0.145	0.152	0.0457	0.533	0.0686	0.5
Chlamydiae	0.19	0.0495	0.0229	0.0533	0.0152	0.0381	0.0267	0.0267	0.0457	0.0495	0.0114	0.0152	0.00381	0.019	0.00762	0.00762	0.00762	0.00762	0.0114	0.0724	0.0152	0.00381	0.00762	0.0533	0.0533	0.0762	0.0419	0.0495	0.0419	0.00762	0	0.488	0.389	0.137	0.274	0.156	0.0991	0.884	0.0914	0.4
Chlorobia	0.248	0.0571	0.0381	0.0495	0.0229	0.0267	0.0381	0.0152	0.0152	0.0457	0.00381	0.0229	0	0.0229	0.0152	0.019	0.0419	0.0457	0.0381	0.061	0.103	0.114	0.0533	0.0305	0.0152	0.0533	0.0381	0.0267	0.0305	0.0381	0.061	0.118	0.823	0.339	0.229	1.46	0.0648	0.213	0.0571	0.3
Nitrospira	0.175	0.114	0.0952	0.0305	0.0571	0.0419	0.0267	0.0419	0.0229	0.122	0	0.0114	0.00381	0.00381	0.0114	0.00381	0.0152	0	0	0.0952	0.0152	0	0.00762	0.13	0.0876	0.0533	0.0495	0.0381	0.0533	0.00762	0.0152	0.499	0.792	0.381	0.305	0.419	0.11	1.08	0.0419	0.3
TK10	0.0457	0.0762	0.0724	0.0305	0.0267	0.0343	0.00762	0.0343	0.0152	0.0495	0.0114	0.00381	0	0.00381	0	0.00381	0.00762	0	0.00762	0.0571	0	0.0114	0.00381	0.0381	0.0419	0.0457	0.0533	0.0267	0.0229	0.00381	0.00381	0.141	0.152	0.179	0.114	0.0724	0.0952	0.141	0.0152	0.3
Gitt-GS-136	0.0724	0.556	0.373	0.206	0.206	0.221	0.171	0.137	0.0648	0.354	0.0495	0.0419	0.019	0.0114	0.00762	0.0114	0.0114	0.0114	0.0305	0.453	0.0152	0.0343	0.0267	0.305	0.267	0.309	0.263	0.13	0.221	0.00381	0.0267	0.331	0.293	0.354	0.4	0.175	0.0991	0.145	0.061	0.2
Deinococci	0.019	0.0495	0.0648	0.0533	0.0343	0.0495	0.0381	0.0571	0.122	0.0419	0.061	0.0457	0.0114	0.0229	0.0267	0.019	0.0229	0.0305	0.0229	0.0648	0.019	0.0343	0.019	0.061	0.0267	0.0914	0.0267	0.0495	0.0495	0.0267	0.0762	0.0152	0	0.0457	0.0267	0.00381	0	0.0229	0.0229	0.2
ML635J-21	0.16	0.122	0.0533	0.0495	0.0495	0.0457	0.0381	0.0686	0.0533	0.103	0.00762	0.0229	0.0152	0.0533	0.0533	0.0648	0.08	0.13	0.141	0.118	0.244	0.118	0.293	0.0876	0.122	0.08	0.0914	0.0838	0.0724	0.122	0.16	0.019	0.0343	0.0229	0.0229	0.0114	0.0114	0.0762	0.0114	0.2
Cyanobacteria	0.0305	0.331	0.103	0.122	0.0952	0.122	0.145	0.133	0.286	0.145	0.0495	0.0762	0.0381	0.0152	0.019	0.0152	0.019	0.0305	0.0152	0.122	0.0114	0	0.019	0.137	0.179	0.0952	0.103	0.11	0.103	0.00762	0.0152	0.0229	0	0.0229	0	0.00381	0.00381	0.0152	0.164	0.2
TA18	0.019	0	0.00381	0	0	0.00381	0.00381	0	0.0152	0.0114	0	0	0	0.00381	0.00762	0	0.00762	0	0.00381	0.00381	0	0.00762	0	0.0114	0	0.00381	0.0114	0	0.0152	0.00762	0	0.0648	0.0914	0.0876	0.0457	0.0686	0.0343	0.11	0.0267	0.2
OM190	0.0267	0.019	0.00762	0.0152	0.00381	0.00762	0.0114	0.019	0	0.0343	0	0	0	0	0.00381	0	0	0	0	0.0267	0	0	0	0.019	0.019	0.0152	0.00381	0	0.0114	0	0	0.0838	0.0762	0.103	0.0533	0.0495	0.0343	0.0343	0.00381	0.2
Nitriliruptoria	0.0305	0.122	0.0457	0.0381	0.0381	0.0343	0.0305	0.0229	0.00381	0.0457	0.00381	0	0.00381	0.00762	0.00762	0.0114	0.0114	0.00381	0.0152	0.061	0.00381	0.0267	0.0114	0.0648	0.0648	0.061	0.0533	0.0381	0.0419	0.00762	0.0229	0.0114	0.00762	0.0229	0.0152	0.00381	0.00381	0.0267	0.00381	0.1
TakashiAC-B11	0.061	0.0419	0.0114	0.0114	0.0114	0.0229	0.019	0.00381	0.0114	0.0114	0.00381	0.00381	0	0.00381	0.0152	0.00381	0	0.00381	0	0.0229	0.0114	0.00381	0	0.019	0.0305	0.0533	0.0114	0.00762	0.00762	0.00762	0.00762	0.0991	0.0495	0.194	0.19	0.0686	0.0152	0.152	0.0495	0.1
Fibrobacteria	0.0419	0.0495	0	0.00762	0.00381	0	0.00381	0.00381	0	0.0229	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0.0229	0.0114	0.0114	0.0152	0.0152	0.0229	0	0	0.00762	0.0343	0.0114	0.019	0.16	0	0.0495	0	0.1
Pla4_lineage	0.00762	0.00381	0.00381	0.00381	0	0	0.00381	0.00381	0.00381	0.019	0	0	0	0	0	0	0	0	0	0.0152	0	0	0.00381	0.00381	0.0114	0.0114	0	0	0	0	0	0	0.0114	0.00762	0.019	0.0838	0	0.00381	0	0.1
Verrucomicrobia_Incertae_Sedis	0.00381	0.183	0.0457	0.107	0.0267	0.0457	0.0724	0.0648	0.0343	0.0686	0.019	0.0152	0	0	0	0	0	0	0	0.126	0	0.00381	0	0.08	0.0762	0.0648	0.019	0.0533	0.0343	0	0	0	0	0	0	0.00381	0	0	0	0.1
JG30-KF-CM66	0.0114	0.019	0.0114	0.00381	0	0	0.00381	0.00381	0	0	0.00381	0	0	0.00381	0	0	0	0	0	0.00381	0	0	0.00381	0	0.0114	0.00762	0	0.0152	0.00762	0	0.00381	0.0229	0.0419	0.0343	0.0343	0.0267	0.0114	0.0229	0	0.1
Ktedonobacteria	0.00762	0.0267	0	0.019	0.00762	0.00381	0.00381	0	0.00762	0.00762	0	0	0	0	0	0.00381	0.00381	0.00762	0.00381	0.00762	0.0114	0.00762	0.00381	0.00762	0.0114	0.019	0.0114	0.00381	0.0114	0.00381	0.00381	0.187	0.0152	0.19	0.141	0	0.0267	0.11	0.0114	0.1
Clostridia	0.0114	0.00762	0.00762	0.00762	0.00762	0	0.00762	0.00381	0.00381	0.0114	0.0114	0.00762	0	0	0	0	0	0	0.00381	0	0.00381	0.00762	0.00762	0.00762	0.00762	0.00762	0.00381	0.00381	0	0	0	0.0267	0.0229	0.0381	0.0229	0.0305	0	0.0114	0.00381	0.1
Erysipelotrichia	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.061	0.061	0.0114	0.0152	0.0381	0.0571	0	0.00762	0.1
Marine_Group_I	0.08	0.019	0.00762	0.00381	0.00381	0.0152	0.00762	0	0.00381	0.00762	0	0	0	0	0	0	0	0	0.00381	0.019	0	0	0	0.0114	0.0152	0	0.0114	0.0114	0	0	0	0.00381	0.0229	0.0229	0.0724	0.0914	0	0	0	0.1
P2-11E	0.0114	0.0114	0.0152	0	0.00762	0.0114	0.00762	0.00762	0.00762	0.00762	0	0	0	0	0	0	0	0	0	0.0152	0	0	0	0.0229	0.0114	0.019	0.0229	0	0.00762	0	0	0	0	0	0.00381	0.0229	0	0	0	0.1
Armatimonadia	0.019	0	0	0	0	0.00381	0.00762	0	0	0	0	0	0	0	0	0.00381	0	0	0.00381	0.0114	0	0.00381	0	0.0114	0.00762	0.00381	0.0114	0.00381	0.00381	0	0.00381	0.0419	0.00381	0.00762	0.00381	0	0.0305	0.00762	0	0.0
Elusimicrobia	0.00762	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0.00381	0.00762	0.00381	0	0	0	0.00762	0.00762	0.00762	0.0152	0.0152	0.0114	0.00381	0	0.0
Epsilonproteobacteria	0	0.0114	0.00762	0.00381	0.00762	0.00381	0.00381	0.0114	0.0114	0.00381	0	0.0114	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0.00381	0.0114	0.00381	0.00381	0.00762	0	0	0	0	0	0	0	0	0	0	0.0
S085	0.00762	0.0114	0.0114	0.00381	0.00381	0	0	0.00762	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0.00762	0	0	0	0.0114	0.00381	0.019	0.0114	0.00762	0.00762	0	0.00762	0.019	0.0305	0.0114	0.0114	0.0152	0.00381	0.0305	0	0.0
Melainabacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0.00381	0.0229	0.0229	0.00381	0.0114	0.019	0.00762	0.0457	0	0.00381	0	0.0
Bacteroidetes_VC2.1_Bac22	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0533	0.00381	0	0.0381	0	0	0	0.0
vadinHA49	0.0114	0	0.0114	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0.00381	0.00762	0	0	0	0	0	0	0	0	0.00762	0.00381	0.00381	0	0.0
BD7-11	0	0	0.0152	0	0	0	0	0.00381	0.00381	0.00381	0.00381	0	0.00381	0	0	0	0	0	0	0.00762	0	0	0	0	0.00381	0.00381	0.00381	0	0	0	0	0.00381	0.00381	0.0152	0.00762	0.00762	0	0.00762	0	0.0
mixed_culture_isolate_koll6	0.00762	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.00762	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0.00381	0.0114	0.0114	0.0305	0.0114	0	0	0	0.0
Chthonomonadetes	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0.00762	0	0.00381	0	0	0	0	0	0.00381	0	0.0152	0	0.00762	0	0.00381	0	0.0
SK259	0	0	0.00762	0	0.00381	0	0.00381	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0	0.00381	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0.0
SHA-26	0.00762	0.0152	0.0152	0	0.0152	0.00381	0.00762	0.00381	0	0.0114	0	0	0	0	0.00381	0.00381	0	0	0	0.00381	0	0	0	0.019	0	0.0267	0.00381	0	0.00381	0	0	0.00381	0.0419	0.0114	0.0267	0.0267	0	0.00381	0.00381	0.0
Spike	0.0952	1.02	0.507	0.594	0.495	0.461	0.827	1.26	3.33	1.04	0.32	0.271	0.69	0.865	0.937	0.632	0.648	0.979	0.602	0.507	0.339	0.667	0.93	0.853	0.629	0.556	0.686	0.419	0.571	0.316	0.217	0.183	0.499	0.739	0.739	1.75	0.0419	0.171	0.107	0.0
Deep_Sea_Euryarchaeotic_Group[DSEG]	0	0	0	0	0.00762	0	0.00762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00762	0	0.0114	0.00381	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0.0
Subgroup_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00381	0.0114	0.0114	0	0	0	0.0
